Timestamp,Date,Time,Trending Topic,Topic Context,Tweet Volume,Post Content,Post Length,Success,Retry Count,Model Used,Temperature,Method
2025-11-21T05:48:33.955Z,21/11/2025,11:18:33 am,Harry Brook,Sports · Trending,"1,248 posts",Watching Harry Brook's performance on the field is like witnessing a masterclass in cricket finesse. The way he commands the game is truly inspiring! 🏏 #HarryBrook #CricketGenius,179,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-21T06:41:48.829Z,21/11/2025,12:11:48 pm,नोबेल पुरस्कार,Science · Trending,"2,821 posts",नोबेल पुरस्कार का अवार्ड वास्तव में मानवता के लिए विज्ञान और शांति क्षेत्र में एक महत्वपूर्ण पहचान है। किस विषय पर आपको नोबेल पुरस्कार देना चाहिए था? #NobelPr,158,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-21T06:54:46.737Z,21/11/2025,12:24:46 pm,Harry Brook,Sports · Trending,"1,557 posts","Harry Brook's elegant stroke play is a sight to behold, leaving fans in awe of his sheer talent and composure under pressure. Who else is excited to see what he'll achieve next? 🏏 #CricketGenius #HarryBrook",207,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-21T06:56:22.887Z,21/11/2025,12:26:22 pm,England,Sports · Trending,101K posts,"England's passion for sports runs deep, from cricket to football, they always bring the energy! ⚽️🏏 What's your favorite English team or player to watch in action? #EngagingEngland",181,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-21T12:03:42.317Z,21/11/2025,5:33:42 pm,Australia,Sports · Trending,92.6K posts,"From kangaroos to cricket, Australia always keeps us on our toes! 🇦🇺 What's your favorite thing about this unique land down under? #AustraliaAdventures #DownUnderDelights",172,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-21T12:05:16.466Z,21/11/2025,5:35:16 pm,Haier EST SUPHA,Only on X · Trending,59.5K posts,Who knew a household appliance could be so sleek and stylish? Haier EST SUPHA is setting a new standard in home essentials. 🌟 #HaierESTClusive #InnovativeDesigns,162,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-25T04:45:21.104Z,25/11/2025,10:15:21 am,राम मंदिर,Trending in India,39.4K posts,"राम मंदिर stands as a symbol of faith, unity, and cultural heritage. The journey towards its construction echoes the resilience and devotion of a nation. How does this monumental achievement inspire you today? 🚩 #राममंदिर #Ayodhya",231,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-25T04:47:01.565Z,25/11/2025,10:17:01 am,गीता ज्ञान,Trending in India,"5,014 posts",Embracing the teachings of the #BhagavadGita brings a profound sense of clarity and purpose to life. How has #GeetaGyan influenced your journey towards inner peace and fulfillment?,180,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-25T05:02:56.051Z,25/11/2025,10:32:56 am,श्री अरुण,Trending in India,N/A,"श्री अरुण के जन्मदिन पर, उनके योगदान को सलाम! कौन कहता है सपने सिर्फ नींद में आते हैं? 🌟 उनकी कहानी एक प्रेरणास्रोत है। #जन्मदिन #श्रीअरुण",139,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-25T05:04:41.124Z,25/11/2025,10:34:41 am,International Day,Trending in India,"9,486 posts","Today, we celebrate International Day - a reminder of our shared humanity and the power of unity in diversity. How can we continue to uplift and support each other beyond just today? #InternationalDay #UnityInDiversity",218,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-25T05:06:20.333Z,25/11/2025,10:36:20 am,राम मंदिर,Trending in India,40.6K posts,राम मंदिर's journey through time reflects the resilience of faith and the echoes of history. How does this iconic symbol continue to shape our narratives today? #RamMandir #IndianHistory,186,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T04:45:22.906Z,28/11/2025,10:15:22 am,UP Warriorz,Trending in India,"3,324 posts",UP Warriorz making power moves at WPL 2026 auction! 💪 Did you catch Deepti Sharma securing the bag? Exciting times ahead for this squad! #UPWarriorz #WPL2026,158,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T05:08:28.127Z,28/11/2025,10:38:28 am,Labour,Politics · Trending,172K posts,Labour is more than just a political party—it's a reflection of our collective values and aspirations for a fairer society. How do you think they can better connect with the diverse voices of today? #Labour #Engagement,218,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T06:38:10.125Z,28/11/2025,12:08:10 pm,Reeves,Politics · Trending,82.9K posts,Is there anyone more universally loved than Keanu Reeves? His talent on screen and kindness off screen truly make him a gem in Hollywood. Which Reeves movie always puts a smile on your face? #KeanuReeves #HollywoodIcon,218,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T07:10:30.866Z,28/11/2025,12:40:30 pm,Hindu Sanskriti,Trending in India,"5,269 posts","Hindu Sanskriti is a tapestry of traditions woven with devotion and resilience, standing the test of time. How do you see its influence shaping modern India? #CulturalHeritage #ProudTraditions",192,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T07:15:00.884Z,28/11/2025,12:45:00 pm,Young Boys,Sports · Trending,16.7K posts,Watching the passion of Young Boys fans is like witnessing a symphony of emotions in the stands. Their energy is palpable! ⚽️🔥 What makes their support so unique? #YoungBoys #FanPassion,186,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T08:26:36.546Z,28/11/2025,1:56:36 pm,Djiga,Trending in United Kingdom,"1,095 posts",Djiga's precision on the field is like poetry in motion. The way they anticipate plays and command the game is truly mesmerizing. Who else is in awe of Djiga's skill and finesse? 🌟⚽ #DjigaMastery #SportsGenius,210,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T08:28:17.486Z,28/11/2025,1:58:17 pm,Young Boys,Sports · Trending,17K posts,Watching these Young Boys play with such passion and determination on the field is truly inspiring. Youthful energy and raw talent shining bright! Who's your favorite player to watch? ⚽️ #YoungBoys #Sports,205,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T08:48:43.868Z,28/11/2025,2:18:43 pm,Brexit,Politics · Trending,25.5K posts,"Brexit continues to stir the pot, but are we any closer to a resolution? The complexities seem never-ending. What's your take on this ongoing saga? 🤔 #Brexit #UKPolitics",170,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T10:55:37.858Z,28/11/2025,4:25:37 pm,Robbie Williams,Music · Trending,N/A,Robbie Williams never fails to bring the energy! His stage presence is truly electric. 🎤 Who else can't get enough of his performances? #RobbieWilliams #MusicLegend,165,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T10:57:13.231Z,28/11/2025,4:27:13 pm,Reeves,Politics · Trending,71.6K posts,"Watching the Reeves conversation unfold, it's clear that every statement made has a ripple effect. Words truly hold power in shaping perceptions and outcomes. How do you think language influences our views? #Reeves #PowerOfWords",228,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
2025-11-28T11:15:35.361Z,28/11/2025,4:45:35 pm,Braga,Sports · Trending,13.7K posts,"Braga may be trending, but have you noticed how this club's passion unites fans worldwide? The dedication and loyalty are unmatched. Who's your favorite player from Braga? #FootballFever ⚽️",189,Yes,1,openai/gpt-3.5-turbo,0.85,native_click_forced
